,country,count,movie,tv-14,tv-ma,tv-pg,pg-13,tv show,tv-y7,pg,r,nr,tv-g,tv-y7-fv,ur,g,tv-y,nc-17
0,india,892,886,507,218,124,9,6,10,6,5,7,4,1,1,0,0,0
1,mexico,91,87,14,53,0,3,4,2,2,12,4,1,0,0,0,0,0
2,singapore,18,18,4,8,2,0,0,0,0,4,0,0,0,0,0,0,0
3,united states,2417,2379,204,590,129,368,38,42,311,542,30,34,2,2,118,45,0
4,turkey,83,78,29,40,8,0,5,0,0,1,4,1,0,0,0,0,0
5,egypt,95,95,64,27,4,0,0,0,0,0,0,0,0,0,0,0,0
6,thailand,43,40,6,28,4,1,3,0,0,3,0,1,0,0,0,0,0
7,nigeria,70,67,32,30,7,0,3,0,0,0,1,0,0,0,0,0,0
8,norway,18,18,3,9,1,3,0,0,0,2,0,0,0,0,0,0,0
9,iceland,7,7,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0
10,south korea,61,50,6,38,3,1,11,5,2,2,3,0,0,0,1,0,0
11,italy,57,52,10,24,2,8,5,2,2,5,1,0,1,0,1,1,0
12,indonesia,75,75,31,16,16,1,0,0,0,3,0,8,0,0,0,0,0
13,canada,263,255,20,62,17,28,8,8,23,68,4,7,0,1,2,22,1
14,romania,11,11,2,7,0,1,0,0,0,1,0,0,0,0,0,0,0
15,spain,147,138,10,110,2,5,9,1,4,11,0,0,0,0,2,1,1
16,south africa,41,40,7,14,6,6,1,0,0,8,0,0,0,0,0,0,0
17,france,254,248,32,112,7,21,6,4,18,49,3,1,0,2,2,2,1
18,portugal,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
19,hong kong,95,95,34,30,4,5,0,0,2,18,2,0,0,0,0,0,0
20,china,98,96,23,26,6,11,2,2,8,19,1,1,0,0,1,0,0
21,germany,143,141,15,42,10,24,2,2,8,35,2,3,0,0,1,1,0
22,united kingdom,443,420,38,112,35,66,23,3,41,119,6,8,0,1,8,6,0
23,argentina,58,57,6,44,2,0,1,0,1,2,2,0,0,0,1,0,0
24,serbia,7,7,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0
25,denmark,26,24,2,12,1,2,2,0,0,5,1,2,0,0,0,1,0
26,poland,28,27,3,22,1,1,1,0,0,1,0,0,0,0,0,0,0
27,japan,108,97,20,30,27,7,11,7,10,6,0,0,0,0,1,0,0
28,kenya,5,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
29,new zealand,17,17,2,5,1,3,0,0,2,4,0,0,0,0,0,0,0
30,pakistan,20,19,13,4,3,0,1,0,0,0,0,0,0,0,0,0,0
31,australia,76,75,4,16,7,11,1,2,10,16,3,2,0,0,0,5,0
32,taiwan,21,14,4,14,2,1,7,0,0,0,0,0,0,0,0,0,0
33,netherlands,31,31,6,14,4,0,0,0,1,4,0,2,0,0,0,0,0
34,philippines,76,76,35,27,8,1,0,0,0,1,0,4,0,0,0,0,0
35,united arab emirates,31,31,8,8,6,2,0,0,3,2,0,1,0,0,1,0,0
36,brazil,53,49,7,29,3,1,4,0,3,3,2,3,0,0,0,2,0
37,iran,4,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
38,belgium,71,70,5,34,1,3,1,0,7,16,2,0,0,0,1,1,1
39,israel,16,15,4,6,2,1,1,0,0,3,0,0,0,0,0,0,0
40,uruguay,10,10,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0
41,bulgaria,9,9,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0
42,chile,21,21,4,13,1,0,0,0,0,3,0,0,0,0,0,0,0
43,algeria,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
44,soviet union,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,malaysia,19,18,8,3,8,0,1,0,0,0,0,0,0,0,0,0,0
46,ireland,27,25,2,9,1,4,2,0,1,7,0,1,0,0,1,1,0
47,luxembourg,10,10,1,1,1,2,0,0,1,4,0,0,0,0,0,0,0
48,colombia,16,14,7,7,1,0,2,0,0,1,0,0,0,0,0,0,0
49,sweden,23,23,2,12,0,3,0,0,0,5,1,0,0,0,0,0,0
50,austria,8,8,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0
51,peru,8,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
52,senegal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,switzerland,16,16,1,6,0,4,0,0,2,2,0,0,0,0,1,0,0
54,ghana,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
55,saudi arabia,7,6,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0
56,namibia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,finland,4,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
58,lebanon,18,18,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0
59,qatar,7,7,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0
60,vietnam,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
61,russia,9,8,2,2,0,1,1,0,0,4,0,0,0,0,0,0,0
62,jordan,6,6,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0
63,malta,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
64,kuwait,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65,czech republic,13,13,2,2,1,2,0,0,2,4,0,0,0,0,0,0,0
66,bahamas,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,sri lanka,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,cayman islands,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
69,bangladesh,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
70,zimbabwe,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,hungary,8,8,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0
72,latvia,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,liechtenstein,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,venezuela,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,cambodia,5,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
76,albania,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,nicaragua,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,greece,6,5,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0
79,,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,croatia,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
81,guatemala,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
82,slovenia,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
83,dominican republic,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,nepal,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
85,west germany,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
86,bermuda,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,ecuador,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,morocco,5,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
89,georgia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,iraq,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,vatican city,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,angola,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,jamaica,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,malawi,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,slovakia,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,lithuania,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,afghanistan,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,paraguay,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,somalia,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,sudan,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,panama,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,east germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,montenegro,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
